step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
0.000000000000000000e+00,0.000000000000000000e+00,1.377449292984772033e-01,4.999999999999999445e-01,2.839122793718654947e+00,1.040834085586084257e-17,9.999999999999998890e-01,-2.617715540741376135e+00,2.372354575968254053e+00,2.617715540741376135e+00,4.109048268761693875e-16,4.102495554179573765e-33
1.000000000000000000e+00,1.000000000000000021e-02,1.428330609969801768e-01,5.153646016414175079e-01,2.914910753876589933e+00,2.043772930483100936e-02,1.015042611176347309e+00,-2.665235042572021484e+00,2.385106563568115234e+00,2.665235042572021484e+00,8.068492123809323235e-01,4.236914780869249399e-20
2.000000000000000000e+00,2.000000000000000042e-02,1.481151594360901602e-01,5.317884104145933488e-01,2.995156623212985814e+00,4.076626833921181969e-02,1.030492567753344746e+00,-2.714872360229492188e+00,2.395208120346069336e+00,2.714872360229492188e+00,1.609387765666699055e+00,7.286923140263358027e-20
3.000000000000000000e+00,2.999999999999999889e-02,1.536003711706752650e-01,5.493091137429089166e-01,3.080301876681548645e+00,6.095971713466497022e-02,1.046375716639429410e+00,-2.766750097274780273e+00,2.402766466140747070e+00,2.766750097274780273e+00,2.406593170085806754e+00,1.025633594188960843e-19
4.000000000000000000e+00,4.000000000000000083e-02,1.592986654100989885e-01,5.679669851421493831e-01,3.170841680989844313e+00,8.099151347960287239e-02,1.062720257183696448e+00,-2.820999383926391602e+00,2.407892942428588867e+00,2.820999383926391602e+00,3.197416791556705995e+00,2.005275027083066003e-19
5.000000000000000000e+00,5.000000000000000278e-02,1.652209241200422729e-01,5.878052855819722033e-01,3.267331159008716845e+00,1.008344310457687243e-01,1.079556848285267767e+00,-2.877759933471679688e+00,2.410701036453247070e+00,2.877759933471679688e+00,3.980783777722641137e+00,1.395970978853996391e-19
6.000000000000000000e+00,5.999999999999999778e-02,1.713790670362314583e-01,6.088708371609242720e-01,3.370393104674323848e+00,1.204606259670981672e-01,1.096918826492399690e+00,-2.937180995941162109e+00,2.411305665969848633e+00,2.937180995941162109e+00,4.755594896811404126e+00,4.184336528027475258e-19
7.000000000000000000e+00,7.000000000000000666e-02,1.777861523847694414e-01,6.312144836293498429e-01,3.480725630192583520e+00,1.398416012954157850e-01,1.114842273061904310e+00,-2.999422073364257812e+00,2.409822702407836914e+00,2.999422073364257812e+00,5.520725134402475476e+00,3.333916854275611057e-19
8.000000000000000000e+00,8.000000000000000167e-02,1.844565397164638909e-01,6.548918239895540339e-01,3.599111897869589072e+00,1.589482504989518930e-01,1.133366269853850250e+00,-3.064653873443603516e+00,2.406367301940917969e+00,3.064653873443603516e+00,6.275025410679637261e+00,4.294785806447279385e-19
9.000000000000000000e+00,8.999999999999999667e-02,1.914060171543480737e-01,6.799638232958608031e-01,3.726429952200643658e+00,1.777508395389304496e-01,1.152532986788199043e+00,-3.133059501647949219e+00,2.415126562118530273e+00,3.133059501647949219e+00,7.017321872843024444e+00,5.573382131559686192e-19
1.000000000000000000e+01,1.000000000000000056e-01,1.986519880481114608e-01,7.064976381527842131e-01,3.863664588660503441e+00,1.962190119120350573e-01,1.172387894713107892e+00,-3.204834222793579102e+00,2.442906379699707031e+00,3.204834222793579102e+00,7.746416094177704714e+00,7.001908984676435390e-19
1.100000000000000000e+01,1.100000000000000006e-01,2.062136529495741111e-01,7.345675207886286362e-01,4.011920553504822351e+00,2.143218355522549246e-01,1.192979963110349040e+00,-3.280188798904418945e+00,2.493033647537231445e+00,3.280188798904418945e+00,8.461086925664337954e+00,7.621309072425278567e-19
1.200000000000000000e+01,1.199999999999999956e-01,2.141122349070784248e-01,7.642557799733190604e-01,4.172437262507052935e+00,2.320277555409120396e-01,1.214361840888161570e+00,-3.359349250793457031e+00,2.573993206024169922e+00,3.359349250793457031e+00,9.160088629045883835e+00,8.279771360651778535e-19
1.300000000000000000e+01,1.300000000000000044e-01,2.223711914514669985e-01,7.956539407382379192e-01,4.346606042596265596e+00,2.493046511190186720e-01,1.236590098782494929e+00,-3.442558526992797852e+00,2.652655601501464844e+00,3.442558526992797852e+00,9.842153127585254069e+00,1.154503401082006795e-18
1.400000000000000000e+01,1.400000000000000133e-01,2.310164994481840317e-01,8.288639948866975971e-01,4.535989066143179649e+00,2.661198366258759052e-01,1.259725455139973249e+00,-3.538033485412597656e+00,2.728837728500366211e+00,3.538033485412597656e+00,1.050599004311970219e+01,1.248525096257027083e-18
1.500000000000000000e+01,1.499999999999999944e-01,2.400769228644351327e-01,8.639998242276254459e-01,4.742340781260105942e+00,2.824401011639565695e-01,1.283833025634464997e+00,-3.673664808273315430e+00,2.802359819412231445e+00,3.673664808273315430e+00,1.115028826196763667e+01,9.877063170315589403e-19
1.600000000000000000e+01,1.600000000000000033e-01,2.495843226209559229e-01,9.011887245157760296e-01,4.967631927224382515e+00,2.982316948300649528e-01,1.308982545808132336e+00,-3.817714691162109375e+00,2.873045206069946289e+00,3.817714691162109375e+00,1.177371539135658907e+01,1.125199354588452211e-18
1.700000000000000000e+01,1.700000000000000122e-01,2.595739590487728954e-01,9.405730197539032833e-01,5.214074822080107197e+00,3.134603896087355679e-01,1.335248525052226576e+00,-3.970691680908203125e+00,2.940721511840820312e+00,3.970691680908203125e+00,1.237492016339824552e+01,9.711556634587205491e-19
1.800000000000000000e+01,1.799999999999999933e-01,2.700848538330307691e-01,9.823119013515375642e-01,5.484152341266501196e+00,3.280914693859813269e-01,1.362710457294293409e+00,-4.133112907409667969e+00,3.005220174789428711e+00,4.133112907409667969e+00,1.295253204084702325e+01,2.184382982929395450e-18
1.900000000000000000e+01,1.900000000000000022e-01,2.811600995550593285e-01,1.026583147334991120e+00,5.780646955117344277e+00,3.420897312480519759e-01,1.391452805683548011e+00,-4.305499553680419922e+00,3.066374778747558594e+00,4.305499553680419922e+00,1.350516126837299780e+01,3.483678192484547780e-18
2.000000000000000000e+01,2.000000000000000111e-01,2.928472477747677827e-01,1.073585185238255413e+00,6.106673823227975362e+00,3.554195152864849661e-01,1.421565101790991381e+00,-4.488378524780273438e+00,3.124022483825683594e+00,4.488378524780273438e+00,1.403140004921815276e+01,2.706813075510536917e-18
2.100000000000000000e+01,2.099999999999999922e-01,3.051986385773631794e-01,1.123538910305138971e+00,6.465713160825517392e+00,3.680446505495638121e-01,1.453141753516196788e+00,-4.682273864746093750e+00,3.178001642227172852e+00,4.682273864746093750e+00,1.452982041144547942e+01,2.182732646163980610e-18
2.200000000000000000e+01,2.200000000000000011e-01,3.182718354779106029e-01,1.176689899003178219e+00,6.861646950660998279e+00,3.799284214501312817e-01,1.486282003046786482e+00,-4.887712478637695312e+00,3.228149652481079102e+00,4.887712478637695312e+00,1.499897288177259291e+01,3.645629804982508659e-18
2.300000000000000000e+01,2.300000000000000100e-01,3.321299635452393817e-01,1.233310376414015197e+00,7.298795206795717583e+00,3.910335331274836790e-01,1.521089586052664977e+00,-5.105217933654785156e+00,3.274301767349243164e+00,5.105217933654785156e+00,1.543738511811413616e+01,4.833358029838179677e-18
2.400000000000000000e+01,2.399999999999999911e-01,3.468422036289213195e-01,1.293701656737551442e+00,7.781957343982506714e+00,4.013220350752817467e-01,1.557672602839934806e+00,-5.335311412811279297e+00,3.316286802291870117e+00,5.335311412811279297e+00,1.584355889453255450e+01,4.960224939121182786e-18
2.500000000000000000e+01,2.500000000000000000e-01,3.624842579912594953e-01,1.358196610422987893e+00,8.316455385970039416e+00,4.107552056684653508e-01,1.596143283625324427e+00,-5.578511238098144531e+00,3.353925466537475586e+00,5.578511238098144531e+00,1.621596554254340106e+01,3.232932191560302068e-18
2.600000000000000000e+01,2.600000000000000089e-01,3.791389104437342672e-01,1.427162413109661188e+00,8.908182600339399571e+00,4.192934433958726004e-01,1.636617803442378172e+00,-5.835334300994873047e+00,3.401107311248779297e+00,5.835334300994873047e+00,1.655304165715126175e+01,3.427358824031655512e-18
2.700000000000000000e+01,2.700000000000000178e-01,3.968966904992784483e-01,1.501003838519580302e+00,9.563656979617164211e+00,4.268961842826684006e-01,1.679216282937983751e+00,-6.106292247772216797e+00,3.564344167709350586e+00,6.106292247772216797e+00,1.685318583681791083e+01,7.486832305601797168e-18
2.800000000000000000e+01,2.800000000000000266e-01,4.158565520586458009e-01,1.580166709736231967e+00,1.029008124867212537e+01,4.335217571992870944e-01,1.724062732474461512e+00,-6.391893863677978516e+00,3.729610919952392578e+00,6.391893863677978516e+00,1.711475297128830420e+01,9.866239769618090349e-18
2.900000000000000000e+01,2.899999999999999800e-01,4.361266175344180596e-01,1.665141762701899175e+00,1.109540916920197162e+01,4.391273366441055259e-01,1.771285044146100329e+00,-6.692641735076904297e+00,3.897040128707885742e+00,6.692641735076904297e+00,1.733605237752524886e+01,3.938424987333915164e-18
3.000000000000000000e+01,2.999999999999999889e-01,4.578250509366668108e-01,1.756469148530960034e+00,1.198842063858511864e+01,4.436688274363405071e-01,1.821015175286351928e+00,-7.009032726287841797e+00,4.066797256469726562e+00,7.009032726287841797e+00,1.751534324756744709e+01,6.342582709040200939e-18
3.100000000000000000e+01,3.099999999999999978e-01,4.810809065319653355e-01,1.854743215818652091e+00,1.297880496540074446e+01,4.471009529324874165e-01,1.873389219976501874e+00,-7.341554641723632812e+00,4.239083766937255859e+00,7.341554641723632812e+00,1.765083813117489342e+01,5.189226686759152590e-18
3.200000000000000000e+01,3.200000000000000067e-01,5.060349090211244683e-01,1.960617333443874344e+00,1.407724933033144410e+01,4.493772823043400422e-01,1.928547309514732744e+00,-7.690683841705322266e+00,4.414134979248046875e+00,7.690683841705322266e+00,1.774070401272195596e+01,6.248750043613326053e-18
3.300000000000000000e+01,3.300000000000000155e-01,5.328403296682990842e-01,2.074809560760986216e+00,1.529554192643576016e+01,4.504503300049691461e-01,1.986633741211596860e+00,-8.056887626647949219e+00,4.592225074768066406e+00,8.056887626647949219e+00,1.778306623795678831e+01,7.480217388390357914e-18
3.400000000000000000e+01,3.400000000000000244e-01,5.616637480928535764e-01,2.198108029696278276e+00,1.664667844808738195e+01,4.502717164141358808e-01,2.047796728386395593e+00,-8.440617561340332031e+00,4.773663520812988281e+00,8.440617561340332031e+00,1.777601485602805909e+01,1.503854688879998117e-17
3.500000000000000000e+01,3.500000000000000333e-01,5.926858852790548582e-01,2.331377142306226169e+00,1.814498500799260228e+01,4.487922166590578854e-01,2.112188398528573874e+00,-8.842311859130859375e+00,4.958800792694091797e+00,8.842311859130859375e+00,1.771760654685154535e+01,2.258694067133439544e-17
3.600000000000000000e+01,3.599999999999999867e-01,6.261024914274365694e-01,2.475564248146421065e+00,1.980625398124561798e+01,4.459617903485195711e-01,2.179964811147644621e+00,-9.262396812438964844e+00,5.148027896881103516e+00,9.262396812438964844e+00,1.760586579496575155e+01,6.337493196620974390e-18
3.700000000000000000e+01,3.699999999999999956e-01,6.621252994964451632e-01,2.631706816235674928e+00,2.164789602233705068e+01,4.417294431777918362e-01,2.251286017257955852e+00,-9.701282501220703125e+00,5.341773986816406250e+00,9.701282501220703125e+00,1.743877942591314323e+01,8.540969245293769310e-18
3.800000000000000000e+01,3.800000000000000044e-01,7.009833128851317152e-01,2.800940842678287801e+00,2.368911191260368199e+01,4.360428406489518238e-01,2.326316471694117816e+00,-1.015936088562011719e+01,5.540507316589355469e+00,1.015936088562011719e+01,1.721428135652960023e+01,1.108349332594094942e-17
3.900000000000000000e+01,3.900000000000000133e-01,7.429243785276775647e-01,2.984511175376365344e+00,2.595109602172287211e+01,4.288479193128296174e-01,2.405225938005364661e+00,-1.063700771331787109e+01,5.744726657867431641e+00,1.063700771331787109e+01,1.693023724739166624e+01,9.515819651135218807e-18
4.000000000000000000e+01,4.000000000000000222e-01,7.882170236326608848e-01,3.183782811417656511e+00,2.845726125251993111e+01,4.200881817273511842e-01,2.488190415223143770e+00,-1.113457870483398438e+01,5.954952239990234375e+00,1.113457870483398438e+01,1.658441666888756316e+01,1.368983396929629453e-17
4.100000000000000000e+01,4.100000000000000311e-01,8.371527551346602536e-01,3.400254887664172276e+00,3.123349701170252146e+01,4.097040255692263599e-01,2.575393637244744571e+00,-1.165240573883056641e+01,6.171710968017578125e+00,1.165240573883056641e+01,1.617446661560825305e+01,2.089173100323944172e-17
4.200000000000000000e+01,4.199999999999999845e-01,8.900487142053095102e-01,3.635576902493981244e+00,3.430846356314847867e+01,3.976320851215859875e-01,2.667028783097367128e+00,-1.219079589843750000e+01,6.395519256591796875e+00,1.219079589843750000e+01,1.569788550932137383e+01,1.341787626860702059e-17
4.300000000000000000e+01,4.299999999999999933e-01,9.472505332408387435e-01,3.891566940108589279e+00,3.771392160660325743e+01,3.838045725242409389e-01,2.763300188239899757e+00,-1.275002861022949219e+01,6.626862049102783203e+00,1.275002861022949219e+01,1.515199719257387123e+01,1.540734204046964986e-17
4.400000000000000000e+01,4.400000000000000022e-01,1.009135724212686158e+00,4.170232939958337326e+00,4.148510531849306915e+01,3.681486942077754065e-01,2.864425320874989023e+00,-1.333035850524902344e+01,6.866173267364501953e+00,1.333035850524902344e+01,1.453392789043344102e+01,1.205137649098398428e-17
4.500000000000000000e+01,4.500000000000000111e-01,1.076116932160013695e+00,4.473795481169092980e+00,4.566114032748282625e+01,3.505862558067747159e-01,2.970636335800391326e+00,-1.393201351165771484e+01,7.113825321197509766e+00,1.393201351165771484e+01,1.384059061308793304e+01,1.598568342160295159e-17
4.600000000000000000e+01,4.600000000000000200e-01,1.148646101069493719e+00,4.804714634883976210e+00,5.028552919885713379e+01,3.310330826370773138e-01,3.082182078977123929e+00,-1.455520534515380859e+01,7.448232650756835938e+00,1.455520534515380859e+01,1.306866227720430018e+01,2.897473198091924828e-17
4.700000000000000000e+01,4.700000000000000289e-01,1.227218714731912019e+00,5.165718962969427785e+00,5.540670051487697378e+01,3.093984689567150781e-01,3.199329697506353654e+00,-1.520013332366943359e+01,7.830801010131835938e+00,1.520013332366943359e+01,1.221456196362201752e+01,1.799862775088759392e-17
4.800000000000000000e+01,4.799999999999999822e-01,1.312379154838926532e+00,5.559839519724547152e+00,6.107864722119859380e+01,2.855844623063603649e-01,3.322366709792626605e+00,-1.586699771881103516e+01,8.222540855407714844e+00,1.586699771881103516e+01,1.127442266424636763e+01,2.543541004441454606e-17
4.900000000000000000e+01,4.899999999999999911e-01,1.404726652755657001e+00,5.990447132526629304e+00,6.736165371732502649e+01,2.594849930501368362e-01,3.451602787609696854e+00,-1.655601310729980469e+01,8.623568534851074219e+00,1.655601310729980469e+01,1.024405691769708859e+01,2.263110106609926614e-17
5.000000000000000000e+01,5.000000000000000000e-01,1.504922514679135404e+00,6.461297427581921937e+00,7.432317363812600775e+01,2.309849016928637866e-01,3.587372413111549641e+00,-1.726742362976074219e+01,9.033999443054199219e+00,1.726742362976074219e+01,9.118918409332325226e+00,4.651165026947115210e-17
